"gene_symbol","t"
"GCC2-AS1",-0.995329412484758
"LOC107984485",-0.995663205291878
"C3orf20",-0.996030665572505
"CCDC93",-0.998390673964267
"LOC107985725",-0.998704628810652
"PMF1-BGLAP",-0.998840338703793
"ZNF223",-0.99985354040295
"OARD1",-0.999877230743355
"MIR568",-1.00067302210311
"PPP1R14C",-1.00077675453522
"ERI2",-1.00333199785392
"LOC102723728",-1.00346337200772
"LARP7",-1.00363997758747
"ACVR2A",-1.00416259905348
"LOC101929326",-1.00471478327416
"KDM1B",-1.00619600032261
"RPSA2",-1.00722861544963
"DIO3OS",-1.00777671803157
"GOLGA6L10",-1.0086798596985
"GEMIN7-AS1",-1.01122086552599
"CRYZL2P-SEC16B",-1.01226161702459
"CAP2",-1.01231486338073
"PAFAH1B2",-1.01292440867121
"ZNF25",-1.01307411251259
"DENND5A",-1.01343917479773
"ZDHHC11B",-1.01416327999898
"RPL14",-1.01485207064139
"SMURF2P1-LRRC37BP1",-1.01567181105313
"AKAP3",-1.01670061880819
"LOC107987147",-1.01671684373078
"MIR5010",-1.01753268308526
"SOX2-OT",-1.01774729030443
"USP44",-1.01777206816076
"LOC105376018",-1.01796394545952
"LOC105371692",-1.01850224718899
"PTGS2",-1.01959621020794
"EXOSC1",-1.02003571512924
"ZNF620",-1.02019663281481
"TARDBP",-1.02077453367318
"VPS33A",-1.02090603398181
"MASCRNA",-1.02112108983678
"SIN3A",-1.02126898719347
"CZ1P-ASNS",-1.02178647732189
"UBE2R2",-1.02206928252756
"RGPD4",-1.02347498368897
"NEDD8-MDP1",-1.02392590871561
"LOC105373835",-1.02415029788951
"ZNF26",-1.02634531884678
"LOC102724642",-1.02735127695691
"LOC112268086",-1.02810211171374
"TSSK3",-1.02822511422103
"ZNF750",-1.03044382308191
"ZNF287",-1.03091428349114
"LOC107987326",-1.03121126485314
"ZC3H13",-1.03127508917498
"KCNC3",-1.03132597025851
"RELCH",-1.03287023973454
"PAQR4",-1.03364627016399
"PKP4-AS1",-1.03378179759093
"RARS2",-1.03417668382754
"FXR1",-1.03492391544533
"APOBEC3B",-1.03645621986962
"USF1",-1.03803875044158
"HIKESHI",-1.03944095791568
"LOC105376244",-1.04104151532805
"CCDC14",-1.04150180268714
"TMEM220-AS1",-1.04164664253544
"LOC101930307",-1.04262928145071
"HEG1",-1.04272252002625
"HM13-AS1",-1.0442378267314
"PRSS42P",-1.04425431695951
"CABYR",-1.04427569454649
"CAPN10-DT",-1.04534898820345
"RASL11A",-1.04560570259907
"VEZT",-1.04635129954336
"C8orf76",-1.04744327082924
"GPBAR1",-1.0481691166777
"ZC3H8",-1.04934071188459
"MPDZ",-1.04971254801424
"MAP9-AS1",-1.05176055006512
"TPD52L2",-1.05222088498323
"ERI3-IT1",-1.05281987909322
"LILRB5",-1.05484660010343
"TPP1",-1.05527868244637
"FUBP3",-1.05552738711352
"PPT1",-1.05634607663456
"SIRPB1",-1.05659601477197
"DNAJC13",-1.05711519894848
"CRAMP1",-1.0571894362413
"DHX16",-1.05719301020887
"DDIAS",-1.05822959982424
"LOC100506124",-1.05878528779005
"EFCAB7",-1.05892195481641
"ZNF561",-1.05912754514652
"HOMER2",-1.06171270343277
"TIPIN",-1.06272275319412
"PEAK1",-1.06453850670169
"FBXO8",-1.06546263804023
"POMK",-1.06601381049363
"WDR45B",-1.06636137889469
"DUSP29",-1.06728512133495
"NCF4",-1.06732443200365
"CCT6P1",-1.06757963223898
"PPIL6",-1.06781532831685
"CKMT2",-1.06859942437557
"TSC22D1-AS1",-1.06920354878949
"METTL15",-1.06924773500872
"DAZAP2",-1.06936862998522
"SEC16A",-1.07029739328286
"MINDY1",-1.07272728645789
"LOC101927788",-1.07371068025004
"NFU1",-1.07533786915386
"CPOX",-1.07542760451814
"LUC7L2",-1.07610879510081
"CEP170P1",-1.07730580967636
"LRP6",-1.07803976353949
"TAGLN2",-1.07843367064352
"ND4",-1.07878090038378
"PPIL4",-1.08040269283572
"ZNF10",-1.0805987090462
"SUMO1",-1.08087750551133
"TUBB2A",-1.0813048769457
"MNT",-1.08172332414335
"ATP6V0E1",-1.08218405541345
"HAX1",-1.08229947250393
